,Identifier.label,Identifier.RegionClass,Size.Area,Size.ConvexHullArea,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.EulerNumber,Shape.Extent,Shape.MaxFeretDiameter,Size.FilledArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Solidity,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Circularity,NuclearComposition.NormalizedPixelCount.CancerEpithelium,NuclearComposition.NormalizedPixelCount.NormalEpithelium,NuclearComposition.NormalizedPixelCount.StromalCellNOS,NuclearComposition.NormalizedPixelCount.TILsCell,NuclearComposition.NormalizedPixelCount.ActiveTILsCell,NuclearComposition.NormalizedPixelCount.UnknownOrAmbiguousCell,NuclearComposition.NormalizedPixelCount.BACKGROUND,Neighborhood.PixelCount.Surround-ALL.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-64,Neighborhood.PixelCount.Surround-ALL.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-128
TUMOR.203,203,TUMOR,6327,11007,0.9378934098532221,89.75403389006745,1,0.31825955734406436,189.52572384771415,6327,198.71592386873297,68.9392343828062,950.4762261269984,0.5748160261651676,1.1720312858189454,0.34692355318412144,0.0880086139776664,0.16403130490337006,0.0,0.02954799552787095,0.0,0.0,0.0033540967896502154,0.8030666027791088,43738.0,0.033975033151950246,0.18882893593671407,0.00011431706982486625,0.0017376194613379669,0.5656179980794732,0.009305409483744113,0.004115414513695185,0.040628286615757465,0.0,0.0,0.0016918926334080204,0.7458731537793223,110999.0,0.02314435265182569,0.1770286218794764,8.108181154785178e-05,0.0027657906827989443,0.4979053865350138,0.005207254119406481,0.0030270542977864664,0.028396652222092093,0.0,0.0,0.0010810908206380237,0.6678168271786232
TUMOR.465,465,TUMOR,5081,7226,0.9929393361074026,80.43214610340422,1,0.23200913242009133,236.01906702637396,5081,264.38587435327383,31.36231096784066,568.0315292925759,0.703155272626626,1.086256704906975,0.11862324734465265,0.1978855918093846,0.09681881051175657,0.12230784429954554,0.029440821971942303,0.0,0.0,0.0,0.7514325232167556,45218.0,0.00037595647750895663,0.8117563802025742,0.0,0.024392940864257598,0.16247954354460614,0.00022115086912291565,0.0,0.033305320889911096,0.0006855676942810386,0.0,0.0004423017382458313,0.9653456588084391,115778.0,0.0002332049266700064,0.8015512446233308,0.0,0.026144863445559604,0.17022232203009208,8.637219506296532e-05,0.0,0.021385755497590215,0.0003627632192644544,0.0,0.0003541259997581578,0.9778109830883243
TUMOR.470,470,TUMOR,24756,50194,0.9717790547919873,177.53962422361857,-3,0.19982564897326618,492.16460661043067,24756,482.7147262982177,113.86898525089508,2774.806312016909,0.49320635932581586,1.2429729688245355,0.23589291779871582,0.040404058436240564,0.16406376436316555,0.014039488590386794,0.02581323838808869,0.0005259750768732805,0.0,0.0041673409936882995,0.7913901925877974,95684.0,0.05695832114042055,0.22254504410350737,0.0,0.0062288365870992015,0.547698674804565,0.020295974248568202,0.0010973621504117722,0.027653526190376657,0.00019857029388403494,0.0,0.003333890723631955,0.8726746373479369,205274.0,0.034276138234749655,0.14866958309381606,0.0,0.0035610939524732795,0.5046182176018394,0.012933932207683388,0.0005894560441166441,0.018964895700380954,0.0001120453637577092,0.0,0.002158091136724573,0.7140553601527714
TUMOR.486,486,TUMOR,8904,16046,0.9840695412231569,106.47499662513208,1,0.21751025991792067,274.11676344215067,8904,301.49594749939723,53.60114483010133,1001.9381669041238,0.5549046491337405,1.2598883081546126,0.17778396450986625,0.11145849492533132,0.0243051648475301,0.21818386407111512,0.029706312591425678,0.011815010689771576,0.0,0.000900191290649263,0.7150894565095083,55053.0,0.023123172215864712,0.5711223729860316,0.012097433382376982,0.004432092710660636,0.37787223221259514,0.001870924381959203,0.006030552376800538,0.05113254500208889,0.006793453581094582,0.0,0.0005812580604145096,0.926289212213685,133221.0,0.012355409432446837,0.42565361316909495,0.005119313021220378,0.006252767957003776,0.48900698838771667,0.0012160245006417906,0.0033177952424917993,0.03136892832211138,0.0031901877331651915,0.0,0.00042786047244803747,0.9011867498367374
TUMOR.555,555,TUMOR,5431,6837,0.942899579870036,83.15626234660063,0,0.4894556596971882,154.042202009709,5431,152.27413213747815,50.719032677568435,481.56349186104046,0.7943542489395934,1.1008774929180247,0.3330771416367529,0.29429477868673015,0.11819021237303785,0.13444136657433056,0.020867959372114497,0.00018467220683287164,0.0,0.0,0.7263157894736842,36229.0,0.012062160147947776,0.8323442546026664,0.0019597559965773277,0.020591239062629385,0.11350023461867564,0.001324905462474813,0.0024013911507355986,0.047254961494934994,0.004637169118661845,0.0,0.0011316900825305695,0.9432498826906621,97562.0,0.011643877739283737,0.7730878825772329,0.005811688977265739,0.025173735675775404,0.16746274164121278,0.0014759845021627273,0.0027367212644267237,0.03649986675139911,0.004663701031139173,0.0,0.0012299870851356061,0.9533937393657367
TUMOR.710,710,TUMOR,16819,22433,0.6693430052310354,146.33733598402256,-1,0.5734792689579924,209.67832506007863,18963,190.07150817794948,141.21429713569697,1188.5067093990478,0.7497436811839701,1.2308831135313525,0.7429535256988058,0.14962589426632167,0.21799678628816282,0.05034815211569363,0.020591561030768316,0.0016663691007558173,0.0,0.0,0.7093971314646195,53156.0,0.07737602528406953,0.587722928738054,0.06541124238091654,0.005530890209948077,0.09490932350063963,0.012152908420498156,0.016235232146888403,0.06166754458574761,0.01661148318157875,0.0,0.0009406275867258635,0.7365678380615547,127687.0,0.06350685661030489,0.5761745518337811,0.029893411232153624,0.006696061462795742,0.11038711850070876,0.013008372034741204,0.009758236938764321,0.04576816747202143,0.008011778802853853,0.0,0.0007283435275321686,0.7182876878617244
TUMOR.740,740,TUMOR,6339,9780,0.9669183327775019,89.8391088228072,0,0.3848816029143898,191.48106956041372,6339,203.2595919826603,51.84870430601775,691.303607231218,0.648159509202454,1.232937911499494,0.2550861378804739,0.16668363761828445,0.01533354410369902,0.22731583939298133,0.0366740436294657,0.00569079987353778,0.0,0.0,0.7149857730003162,42973.0,0.012216973448444373,0.7738114630116585,0.06525027342750099,0.012472948130221302,0.12417099108742699,0.003630186396109185,0.001791822772438508,0.07763013985525795,0.013683010262257697,0.00032578595862518323,0.0016056593675098318,0.9013333953878017,109981.0,0.08783335303370582,0.6708158681954156,0.029714223365854102,0.01424791554904938,0.18539565925023413,0.027377456106054684,0.003182367863540066,0.055318645947936465,0.007728607668597304,0.00012729471454160264,0.001454796737618316,0.9048108309617116
TUMOR.802,802,TUMOR,30622,41526,0.9119718021227674,197.45668218340992,-1,0.5031134477942989,348.9326582594412,30622,348.19409712397334,142.8476339384094,1563.2001435749994,0.7374175215527621,1.1632539115310934,0.41025288802512055,0.1574759524176237,0.2312971859986273,0.018694643265679642,0.020524888060921006,0.0004902441415825081,0.0,0.0,0.7289930385331895,71825.0,0.11638009049773755,0.6951618517229377,0.08815871910894535,0.006557605290636965,0.07725722241559346,0.02851374869474417,0.012168465019143752,0.0728297946397494,0.02134354333449356,5.569091541942221e-05,0.0016011138183083884,0.8605777932474765,164904.0,0.1420523456071411,0.6058009508562557,0.05966501722214137,0.013632173870858195,0.11190146994615048,0.03831320040750982,0.008204773686508514,0.06108402464464173,0.015524183767525348,6.064134284189589e-05,0.001873817493814583,0.826286809295105
TUMOR.803,803,TUMOR,97716,133886,0.8980186266034276,352.7263462705064,-2,0.42559789544288473,634.2554690343632,97716,635.5042648651565,279.59482750163687,3294.11201128918,0.7298447933316403,1.1567780842445288,0.4399574368882674,0.11316153232931489,0.2770942515558467,0.019970111365869635,0.00861857189649525,0.0004606125122830003,0.0,0.0,0.6938564526695054,131178.0,0.010581042552867096,0.6661864032078549,0.018554940615042155,0.016420436353656864,0.266035463263657,0.002309838539999085,0.0014941529829697053,0.05811950174571956,0.004916983030691122,0.00010672521306926466,0.0019286770647517113,0.9311241214227995,270271.0,0.0216597415186979,0.6288207021841041,0.015813757302855284,0.011077770090020757,0.30873826640668073,0.0021533941858356983,0.005960683906153453,0.047045372977492964,0.004073689001039697,5.179986014037762e-05,0.0011321969430682537,0.9395828631262696
TUMOR.811,811,TUMOR,4470,5444,0.7234434010866572,75.44124047870751,1,0.5715381664748753,100.43903623591775,4470,96.15269330500766,66.38225162560087,365.9066376115481,0.8210874357090375,1.0937496430572629,0.6903836943498666,0.41954332103009073,0.04800358905338717,0.17294751009421266,0.0423956931359354,0.0008972633467922835,0.0,0.0013458950201884253,0.7344100493494841,30980.0,0.0040994189799870885,0.9091349257585539,0.00684312459651388,0.004002582311168496,0.07559715945771465,0.0001291155584247902,0.0023886378308586183,0.04793415106520336,0.0020981278244028407,0.0,0.0,0.9474499677211103,87109.0,0.03569091597883112,0.8294320908287318,0.010217084342605242,0.013821763537636754,0.10732530507754652,0.009149456428153234,0.002789608421632667,0.0428773146287984,0.00238781296995718,0.0,0.0009069097337818135,0.9418888978176767
