,Identifier.label,Identifier.RegionClass,Size.Area,Size.ConvexHullArea,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.EulerNumber,Shape.Extent,Shape.MaxFeretDiameter,Size.FilledArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Solidity,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Circularity,NuclearComposition.NormalizedPixelCount.CancerEpithelium,NuclearComposition.NormalizedPixelCount.NormalEpithelium,NuclearComposition.NormalizedPixelCount.StromalCellNOS,NuclearComposition.NormalizedPixelCount.TILsCell,NuclearComposition.NormalizedPixelCount.ActiveTILsCell,NuclearComposition.NormalizedPixelCount.UnknownOrAmbiguousCell,NuclearComposition.NormalizedPixelCount.BACKGROUND,Neighborhood.PixelCount.Surround-ALL.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-64,Neighborhood.PixelCount.Surround-ALL.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-128
TUMOR.22,22,TUMOR,9448,20003,0.7521197670671792,109.67938374488534,-2,0.3457766066461719,224.1182723474371,9448,200.2994997886522,132.00266739914352,1221.193000900063,0.4723291506274059,1.2899837653732014,0.6590264455898657,0.07961247684089594,0.10761464933949093,0.0,0.035334550531629254,0.0027923960906454733,0.0,0.008914187520137472,0.8453442165180969,56344.0,0.019700411756353828,0.2630981116001704,0.0019877892943348007,0.010080931421269345,0.4343852051682522,0.005466420559420701,0.0,0.03292276018742013,0.0012956126650575039,0.0,0.0020232855317336364,0.7058781769132472,132430.0,0.02427697651589519,0.1807294419693423,0.0015781922525107603,0.01679377784489919,0.38887714264139545,0.004477837348032923,6.040927282337839e-05,0.01810012836970475,0.0009514460469682096,6.796043192630068e-05,0.0025749452540965037,0.597379747791286
TUMOR.42,42,TUMOR,7953,11021,0.6909420936437348,100.62839608817558,0,0.5347633136094675,151.15885683611134,7953,132.32800417327516,95.66125169521348,846.7005768508881,0.7216223573178477,1.2218712479164064,0.7229101072963445,0.13940589377535476,0.06220095693779904,0.0,0.011961722488038277,0.002014605892722236,0.001133215814656258,0.027574918156635608,0.8951145807101486,40553.0,0.07331146894187852,0.10593544250733608,0.005449658471629719,0.06653021971247504,0.5891549330505758,0.00954306709737874,0.0,0.009444430744951052,0.0005671590264592015,9.863635242768722e-05,0.007940226370428821,0.8423051315562351,104599.0,0.04254342775743554,0.12774500712243902,0.0022849166818038414,0.028948651516744903,0.5798717004942686,0.006357613361504412,4.780160422183768e-05,0.01304027763171732,0.0006501018174169925,3.8241283377470146e-05,0.004531592080230212,0.7803133873172784
TUMOR.150,150,TUMOR,9590,19877,0.9878517939547148,110.50053046936115,0,0.24394586894586895,362.8567210346255,9590,412.9417431217803,64.17071265367746,1148.5777772109132,0.48246717311465515,1.2604587613711864,0.1553989484534939,0.09134981090160116,0.16561712846347607,0.0054575986565911,0.02424433249370277,0.0006297229219143577,0.0,0.002413937867338371,0.8016372795969773,65097.0,0.011767055317449345,0.24884403275112524,0.0,0.0006605527136427177,0.5664930795581977,0.0017819561577338433,0.0003533188933437793,0.01153662995222514,0.00013825521913452232,0.0,0.00023042536522420388,0.8148301765058298,154155.0,0.028062664201615257,0.17590736596282963,0.00010379163828614057,0.0007524893775745191,0.450851415782816,0.00520904284648568,0.0024650514092958388,0.00947747397100321,0.00018812234439362978,0.0,0.0006811326262527975,0.6450715189257565
TUMOR.161,161,TUMOR,23163,50225,0.9214821591657255,171.7324884076993,-1,0.30695732838589984,385.87692338360944,30685,421.7585902705564,163.81976151661803,2874.1748904055826,0.461184668989547,1.304154619253478,0.3884206873214564,0.03523532562051501,0.12386054348295676,0.03024149997839893,0.012355812848317277,0.0015120749989199465,0.0008208407136993995,0.007560374994599732,0.823648852983108,94856.0,0.0074850299401197605,0.21538964324871385,0.0001475921396643333,0.01634055831997976,0.6629417221894239,0.0012650754828371427,0.00012650754828371426,0.012745635489584212,0.00036898034916083326,2.1084591380619042e-05,0.0014653791009530234,0.8871974361136881,194277.0,0.005142142404916691,0.13431337729118734,7.206205572455823e-05,0.008570237341527818,0.5574977995336555,0.0008390082202216423,0.00013382953205989386,0.0076128414583301164,0.0001955970083952295,1.0294579389222606e-05,0.0007772407438863066,0.6973136295083824
TUMOR.210,210,TUMOR,5255,7012,0.9842066863746267,81.79776162941917,1,0.3384863123993559,216.01157376399996,5255,217.33291583711545,38.472959115521576,559.3624817342637,0.7494295493439818,1.0941638620060945,0.17702315807678168,0.21105513227534622,0.12122947689958,0.0672012218403971,0.023864070255822833,0.000572737686139748,0.0,0.001718213058419244,0.7854142802596411,42848.0,0.013582897684839432,0.21571601941747573,0.00011669156086631815,0.001073562359970127,0.5185539581777446,0.003944174757281553,0.00028005974607916355,0.015543315907393577,0.000443427931292009,0.0,0.0005834578043315907,0.7284820761762509,110988.0,0.03799509856921469,0.1755595199481025,0.00011712977979601398,0.0013514974591847767,0.43518218185749813,0.011073269182253938,0.0002702994918369553,0.010541680181641259,0.00046851911918405594,0.0,0.000576638915918838,0.6280318593001045
TUMOR.322,322,TUMOR,5770,10405,0.9063044655133514,85.71226384317409,1,0.3624144212046982,187.98404187589966,5770,167.79666555915026,70.91513033286355,899.286363288515,0.5545410860163383,1.3186898324166774,0.4226253846973208,0.0896581268882635,0.12363571300769369,0.0046519949901592415,0.006262300948291287,0.0010735373054213634,0.0,0.0,0.8643764537484344,43670.0,0.01570872452484543,0.50322876116327,6.869704602702084e-05,0.016991069384016486,0.04222578429127548,0.0029997710098465767,0.0016258300893061599,0.02704373711930387,0.00041218227616212505,0.0,0.0008243645523242501,0.560430501488436,110477.0,0.008789159734605393,0.2560080378721363,2.7154973433384326e-05,0.007874942295681454,0.12485856784670113,0.001837486535659006,0.0007060293092679925,0.012111118151289409,0.00016292984060030594,0.0,0.0003620663124451243,0.3895561972175204
TUMOR.363,363,TUMOR,9624,11668,0.9064540733206399,110.69623922487705,-1,0.6039156626506024,192.93781381574738,9624,177.66413734266453,75.02834833158487,724.1736649163068,0.8248200205690778,1.1510961919277392,0.42230440793392154,0.2306110024627591,0.19114709283986964,0.0,0.05972032383555883,0.0,0.0,0.014824939543686258,0.7343076437808853,42761.0,0.013563761371343045,0.18472439840041158,0.0003040153410818269,0.00023385795467832838,0.3652627394120811,0.00222165056944412,0.0,0.04228151820584177,0.003484483524707093,0.0,0.00037417272748532543,0.5194920605224387,109894.0,0.006087684495968843,0.14985349518627042,0.0002274919467850838,0.0002092925910422771,0.1487524341638306,0.0008644693977833184,0.0,0.019127522885689845,0.0021111252661655776,0.0,0.0003821864705989408,0.3018727137059348
TUMOR.645,645,TUMOR,7582,11366,0.5799165166729292,98.25325556022052,0,0.48954028925619836,132.18925826253812,8478,134.2953710745924,109.4072032561785,941.0092347159895,0.6670772479324301,1.4065133497867448,0.8146759071495463,0.10759841482415347,0.16653460116217644,0.0,0.011885895404120444,0.0005282620179609086,0.0,0.0035657686212361333,0.8174854727945061,40905.0,0.02048649309375382,0.2915535998044249,0.0,0.00041559711526708225,0.6819704192641486,0.0060628285050727294,0.0,0.014081408140814081,7.334066740007334e-05,0.0,0.0,0.9742085319643076,104328.0,0.018729391917797714,0.26389847404340155,0.0,0.0035848477877463386,0.5765662142473736,0.005568974771873322,0.00023962886281726862,0.011109194080208573,0.00024921401732995934,0.0,0.0002204585537918871,0.847289318303811
TUMOR.659,659,TUMOR,7564,14259,0.9598455970716349,98.13655749198038,1,0.2767857142857143,245.63794495150785,7564,263.5034078513508,73.92030520459838,1472.0458146424487,0.530471982607476,1.41090465164479,0.2805288394839234,0.043865060287438265,0.1382415254237288,0.001059322033898305,0.01615466101694915,0.0,0.0,0.007680084745762712,0.836864406779661,52802.0,0.03795310783682436,0.3953638119768191,0.0,0.0010605658876557706,0.5600166660353775,0.015150941252225294,0.0,0.025964925571001097,0.00026514147191394264,0.0,0.0009848111813946442,0.957634180523465,126685.0,0.045680230492954964,0.3040612542921419,0.0,0.0009551249161305601,0.6378418913052059,0.01499782926155425,0.00019733985870466116,0.01973398587046612,0.0002920629908828985,0.0,0.0010024864822196788,0.9558827011879859
TUMOR.889,889,TUMOR,4150,5795,0.8911632303918307,72.69074295019226,1,0.5449054621848739,125.21980673998823,4150,121.84185027579319,55.277553640929035,660.9604614807104,0.7161345987920621,1.391646005706496,0.45368281518875825,0.11937324480450616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33554.0,0.031203433271741073,0.08735173153722357,0.0,2.9802706085712583e-05,0.3672885498003219,0.0,0.0,0.00044704059128568876,0.0,0.0,0.0001788162365142755,0.6042796685939084,91566.0,0.014153725181836052,0.10474411899613394,0.0,7.644758971670708e-05,0.45993054190420024,4.368433698097547e-05,0.0,0.0005569752965074372,0.0,0.0,0.00021842168490487736,0.6446825240809908
