,Identifier.label,Identifier.RegionClass,Size.Area,Size.ConvexHullArea,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.EulerNumber,Shape.Extent,Shape.MaxFeretDiameter,Size.FilledArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Solidity,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Circularity,NuclearComposition.NormalizedPixelCount.CancerEpithelium,NuclearComposition.NormalizedPixelCount.NormalEpithelium,NuclearComposition.NormalizedPixelCount.StromalCellNOS,NuclearComposition.NormalizedPixelCount.TILsCell,NuclearComposition.NormalizedPixelCount.ActiveTILsCell,NuclearComposition.NormalizedPixelCount.UnknownOrAmbiguousCell,NuclearComposition.NormalizedPixelCount.BACKGROUND,Neighborhood.PixelCount.Surround-ALL.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-64,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-64,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-64,Neighborhood.PixelCount.Surround-ALL.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TUMOR.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-STROMA.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-TILS.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-JUNK.Distance-128,Neighborhood.Regions.NormalizedPixelCount.Surround-WHITE.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-CancerEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-NormalEpithelium.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-StromalCellNOS.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-TILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-ActiveTILsCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-UnknownOrAmbiguousCell.Distance-128,Neighborhood.Nuclei.NormalizedPixelCount.Surround-BACKGROUND.Distance-128
TUMOR.62,62,TUMOR,17177,28178,0.6111604837088465,147.88656348673427,0,0.4692143793706294,213.44085831911377,17177,223.538428718028,176.93216502737903,1611.6437943888952,0.6095890410958904,1.2965663455925949,0.7915067044269232,0.08310345103806237,0.19853415420697743,0.058340662562298445,0.020639108765757842,0.0011140428026971563,0.0,0.0002931691586045148,0.7210788625036646,62143.0,0.05453550681492686,0.3583026245916676,0.0009494231047744718,0.0020758572968797772,0.39788874048565404,0.02016317203868497,0.004103438842669328,0.025924078335452103,0.0032183834060151586,0.0,0.00019310300436090953,0.7602143443348406,140387.0,0.04817397622286964,0.2818280894954661,0.00042026683382364466,0.002272290169317672,0.39905404346556306,0.019154195189013228,0.0022153048359178557,0.017458881520368695,0.0018164075021191422,0.0,8.547800009972433e-05,0.6910468918062214
TUMOR.73,73,TUMOR,23109,43174,0.7805150221681029,171.53219126241254,-1,0.3472426746806912,280.84515306481615,31468,315.7578531667771,197.3919249854522,2485.7585848021567,0.5352526983832863,1.3666614928041732,0.6251370251152348,0.04699732297227689,0.21203663323157435,0.02311382468382032,0.008460532054077628,0.006367204535542957,0.0,0.00030527692978630616,0.7497165285651984,80097.0,0.08281209034046219,0.28767619261645255,0.00019975779367516886,0.0050064297039839195,0.41809306216212844,0.02714209021561357,0.010275041512166499,0.028016030562942433,0.002334669213578536,0.0,0.0004494550357691299,0.7255702460766321,169664.0,0.059965579026782345,0.2687606092040739,9.43040362127499e-05,0.00310613919275745,0.3492373161071294,0.02079993398717465,0.006707374575631837,0.02097086005281026,0.0015619105997736703,0.0,0.0003831101471142965,0.6307407582044512
TUMOR.77,77,TUMOR,5051,7201,0.975220680198335,80.1943448159364,1,0.3174732872407291,198.8818744883505,5051,200.84655162840662,44.43415053151761,683.58787847868,0.7014303568948758,1.2296533884088972,0.22123432128288076,0.13583088374008656,0.15473014570080032,0.012723168479376155,0.027293248512210138,0.00697722142417402,0.0,0.0010260619741432383,0.7972501539092961,41487.0,0.053751777665292745,0.24839106226046714,0.0037361101067804373,0.0026514329790054718,0.3709113698266927,0.01776460095933666,0.0029406802130787957,0.036951334152867166,0.006363439149613132,0.0,0.0012051968086388507,0.6142165015547039,107522.0,0.05276129536280947,0.21296106843250684,0.002046092892617325,0.0038782760737337474,0.3463942262978739,0.020340023437064043,0.002120496270530682,0.026422499581481,0.00406428451851714,0.0,0.0005022228009151615,0.5645914324510333
TUMOR.111,111,TUMOR,7198,11518,0.935972293636856,95.73284829672467,0,0.4010251267480082,193.5071058126807,7198,198.2484553588581,69.7980602468533,819.1025971044414,0.6249348845285639,1.0989544797389255,0.3520736649398292,0.13481713709681603,0.18265348740080747,0.030627871362940276,0.021161074759849643,0.01364332451621885,0.0,0.0032020047333983013,0.7487122372267855,44928.0,0.0697337962962963,0.4798121438746439,0.0007122507122507123,0.0033609330484330483,0.44638087606837606,0.025284900284900286,0.0014022435897435897,0.04654113247863248,0.0030938390313390313,0.0,0.0013354700854700855,0.9223424145299145,113414.0,0.05525772832278202,0.4107341245348899,0.0007847355705644806,0.004267550743294478,0.4704357486730033,0.019759465321741585,0.0014812986051104802,0.035075034828151726,0.0028744246742024794,0.0,0.0009346288817958982,0.881355035533532
TUMOR.204,204,TUMOR,6740,8289,0.77575800091952,92.63711206376739,1,0.5925274725274725,126.43575443678897,6740,124.52718350258445,78.5804540344628,494.14927829866735,0.8131258294124744,1.1642531232583686,0.631030525418026,0.3468593690184928,0.21848989298454222,0.009512485136741973,0.017241379310344827,0.0044589774078478,0.0,0.0022294887039239,0.7480677764565993,35851.0,0.07740369864159996,0.35906948202281663,0.00011157289894284678,0.007252238431285041,0.5561630080053555,0.03874368915790354,0.0039050514629996374,0.039189980753674934,0.0037934785640567907,0.0,0.0005020780452428106,0.9138657220161223,96335.0,0.07592256189339285,0.3369803290600509,0.0025951108112316395,0.005937613536097991,0.5785643846992267,0.034764104427259045,0.003757720454663414,0.03619660559505891,0.00446359059531842,0.0,0.0005916852649608138,0.9202262936627394
TUMOR.217,217,TUMOR,4989,8156,0.6200316640259519,79.70064045340995,1,0.4160967472894078,118.06777714516353,4989,114.16323435368709,89.56982366865705,654.3746750430835,0.6116969102501226,1.2974847739613244,0.7845767875773594,0.14640988558652582,0.22818657016485724,0.01407318053880177,0.022919179734620022,0.0024125452352231603,0.0,0.0,0.7324085243264978,36815.0,0.1101181583593644,0.3890533749830232,2.716284123319299e-05,0.012685046855901128,0.47885372809995924,0.05652587260627462,0.004862148580741545,0.046692924079858755,0.0017927475213907376,0.0,0.0006519081895966318,0.880211870161619,96861.0,0.10388081890544182,0.35808013545183304,0.0002787499612847276,0.007309443429243968,0.46341664859953957,0.04943165980115836,0.005017499303125097,0.03832295764032996,0.0024055089251607976,0.0,0.0005058795593685798,0.8372822911182003
TUMOR.247,247,TUMOR,5352,8156,0.9419966634521321,82.54924617113467,1,0.44100197758734344,167.4873129523547,5352,172.04210812584031,57.74115720691211,650.0315292925759,0.6562040215792055,1.2250366100815078,0.33562223711347056,0.1591685002569088,0.21157086687886165,0.022654933533046245,0.021531548399176183,0.005055233102415278,0.0,0.0,0.7391874180865007,39467.0,0.0564268882864165,0.28390807510071703,5.067524767527301e-05,0.0044087465477487525,0.6552056148174424,0.028023411964425975,0.0035219297134314745,0.03190006841158436,0.0038259811994831123,0.0,0.0005574277244280031,0.9321711809866471,102962.0,0.0583807618344632,0.23707775684233018,0.0001068355315553311,0.005536022998776247,0.6988986227928751,0.026835143062489075,0.003962626988597735,0.026504924146772597,0.0030982304151046017,0.0,0.0005924515840795634,0.9390066238029564
TUMOR.284,284,TUMOR,15340,23865,0.8659080797099475,139.755123756653,0,0.41068751338616405,237.7561776274173,15340,245.79416749780555,122.94701836301253,1566.1879502661798,0.6427823172009218,1.2886458773901244,0.5002031562205812,0.0785864131275661,0.20022196109152632,0.03153153153153153,0.01951951951951952,0.0013709361535448493,0.0,0.0003916960438699569,0.7469643556600079,58502.0,0.07917678028101603,0.31103210146661653,8.546716351577724e-05,0.005076749512837168,0.6046289015760145,0.031178421250555536,0.005640832792041298,0.03748589791801989,0.0024272674438480736,0.0,0.00029058835595364264,0.9229769922395815,136354.0,0.09470202560980975,0.2609457735013274,0.00048403420508382595,0.005837745867374628,0.6380304208164044,0.03982281414553295,0.006109098376285258,0.029958783754051952,0.0022881616967599045,0.0,0.0002273493993575546,0.9215937926280123
TUMOR.289,289,TUMOR,4891,6235,0.866499135490967,78.91396969675066,1,0.5500449842555105,126.57408897558773,4891,118.0896408259735,58.94781844694878,493.4629867976521,0.7844426623897354,1.1692773987363312,0.4991785734518329,0.25240523648317176,0.1904469044690447,0.047765477654776546,0.026035260352603527,0.006560065600656006,0.0,0.0008200082000820008,0.7283722837228372,33442.0,0.11339034746725675,0.31920937742957955,0.0011362956760959273,0.0035583996172477723,0.56270557980982,0.04138508462412535,0.008701632677471443,0.036032533939357694,0.0031397643681597993,0.0,0.00029902517791998085,0.9104419592129658,91795.0,0.09860014161991394,0.27599542458739584,0.0007625687673620567,0.004041614467018901,0.6189879623073152,0.03775804782395555,0.006274851571436353,0.027191023476224194,0.0036603300833378725,0.0,0.000555585816220927,0.922947872977831
TUMOR.402,402,TUMOR,28350,40283,0.8927107745643222,189.99037105401385,-1,0.5385229085935719,323.0108357315587,28350,319.84885720036795,144.13351751914215,2394.8468965567254,0.7037708214383238,1.2925221322103193,0.45063008441155794,0.06211656323064559,0.19592067188933587,0.0019408568000564613,0.01517397134589597,0.0059284353165360995,0.00014115322182228809,0.0017644152727786012,0.7791304961535747,73434.0,0.04364463327613912,0.3080044665958548,0.0016068850940981017,0.0055423918076095546,0.5506577334749571,0.02346324590789008,0.00010894136231173571,0.02976822725168178,0.006563717079282077,4.085301086690089e-05,0.0008034425470490508,0.848707683089577,163945.0,0.04405745829394004,0.22750922565494525,0.0008417457074018726,0.0046357009972856755,0.5743633535636952,0.022794229772179694,9.759370520601422e-05,0.021989081704230078,0.004544206898655037,1.8298819726127665e-05,0.0008356461008264967,0.8011284272164445
